codigo_nif,nombre,cluster_modelo_negocio,PC1,PC2,cluster_label
B46307872,VAELLO CAMPOS SL,1,1.438330084157601,0.0954444649838644,C1
A46162665,INDUSTRIAL PLAST SA,3,0.0826018027108278,0.09704922763170439,C3
B03933835,COMPAÑIA LEVANTINA DE REDUCTORES SL,2,-0.17289320346628922,1.6636779273093127,C2
A03266095,EMBALAJES ALBERO SA,1,3.8167233061980883,0.47642461011823656,C1
B96362835,TEIXITS J FRANCES SL,1,3.7995699311584783,0.7361169503320389,C1
A97033351,SPUNLACE SA,1,1.0036051545834561,0.03552988593853216,C1
A46969754,PALETS RIBELLES SA,1,1.506310518336961,0.41167946567217945,C1
A03146081,FERNANDO CERDA BLANES E HIJOS SA,1,1.919555821937574,0.7844737711503813,C1
B53525184,ADVANCED PET S.L.,1,2.49336651846848,0.5266805509602287,C1
B03463452,JUYPAL HOGAR SL,2,0.47026988767040884,0.784969847048896,C2
B98574056,BLUEBAGS & ACCESORIES SOCIEDAD LIMITADA.,2,0.575033862446791,0.8288537215847714,C2
A03057577,INDUSTRIAS PLASTICAS BAÑERES SA,3,0.5987381929842427,0.056697064465618306,C3
B98376916,AVAN EUROPE SOCIEDAD LIMITADA.,1,2.2534315260860813,0.1371550874703514,C1
B03311933,SATIS COATING SL.,3,0.03765153920614758,-0.10574484823535124,C3
B03160520,CREACIONES JOVIAR SL,3,0.3835522269068535,-0.794085478207236,C3
B54363361,PRODESCOM-ROTOMOLDEO SL,3,0.07502979308396862,-0.1999709358324281,C3
B97328173,NEW MOP SL,3,-0.1710865633404132,0.020996699883259366,C3
B97181978,DON ALMOHADON SL,3,-0.30292952710340637,-0.8131798163475652,C3
B03940525,INYECTADOS IBI SL,3,0.9141386238468867,-1.1755878173185892,C3
B03506102,TERMOFORMADOS BANYERES SL.,1,1.7881415543698898,0.15693061408712564,C1
A03030707,PASCUAL Y BERNABEU SA,3,-0.8584167501339955,-0.42170093810967385,C3
A46225678,CAÑETE SA,2,-0.927813786175963,1.5191254201865876,C2
A03003647,GONHER SA,1,2.355149580781779,-0.1428918344165356,C1
B03663994,MUÑECAS ANTONIO JUAN SL,3,0.6190149678103745,-0.15250449526198515,C3
B53092219,AMBIENTES AMA HOGAR SL,2,0.7998705267186044,0.9787988414293706,C2
B03076346,POHUER CREATIVE INJECTION SL.,3,0.3271782550182637,-0.43531753755675734,C3
